economy,Country,EN.POP.SLUM.UR.ZS,FM.AST.DOMS.CN,FP.CPI.TOTL.ZG,IC.FRM.BRIB.ZS,NY.GDP.PCAP.KD,SE.PRM.ENRR,SE.PRM.UNER,SH.DYN.NMRT,SI.POV.GINI,SL.UEM.TOTL.ZS,SP.DYN.CBRT.IN,Year
PAN,Panama,22.1000003814697,53566329521.46,0.761578359399943,,14880.6628033553,,,8.6,49.2,3.83299994468689,18.976,2018
PLW,Palau,,,2.10970464135021,,15115.3663104541,,,9.5,,,14.0,2018
PAK,Pakistan,40.0999984741211,20045302725334.0,5.07805725868917,,1491.35068353918,94.3282012939453,,42.3,29.6,4.07999992370605,28.25,2018
OMN,Oman,,20371525683.363,0.881302104009536,,17393.5489929358,103.392059326172,8733.0,5.0,,1.79999995231628,19.189,2018
NOR,Norway,0.00100000004749745,4674686000000.0,2.76483134528794,,75953.5819514803,100.077629089355,2.0,1.4,27.6,3.79999995231628,10.4,2018
MNP,Northern Mariana Islands,,,,,20533.1275098717,,,,,,,2018
MKD,North Macedonia,8.30000019073486,332882275838.643,1.45831298507127,,5184.69447115249,98.1753768920898,781.0,5.5,33.0,20.7399997711182,10.3,2018
NGA,Nigeria,53.9000015258789,28453030546765.1,12.0947315505318,,2512.1923919651,87.454231262207,,36.3,35.1,8.45600032806396,37.905,2018
NER,Niger,58.7999992370605,1128382510748.0,2.96760366004454,,513.626785879833,,,25.1,37.3,0.545000016689301,46.079,2018
NIC,Nicaragua,42.2000007629395,195273121684.835,4.94723728039882,,2086.00952292731,,,10.3,,5.19999980926514,20.641,2018
NZL,New Zealand,,458830824000.0,1.59829703801698,,40365.1957031236,101.071418762207,1109.0,2.8,,4.32999992370605,11.84,2018
NCL,New Caledonia,,,,,,,,,,14.8470001220703,14.2,2018
NLD,Netherlands,,1367407000000.0,1.70349794744475,,47826.8191172843,105.221031188965,4252.0,2.6,28.1,3.82999992370605,9.8,2018
NPL,Nepal,49.2999992370605,3072585728881.58,4.0611633875107,,1021.33187703851,,,18.3,,3.19300007820129,19.887,2018
NRU,Nauru,,,,,8392.95808376184,,,19.5,,,,2018
NAM,Namibia,42.2999992370605,113508701054.296,4.29159105337873,,4632.39089281682,124.248390197754,5999.0,20.8,,19.8799991607666,28.639,2018
MMR,Myanmar,56.0999984741211,45258883950000.0,6.87232865662918,,1459.64297672406,112.306671142578,91889.0,23.4,,0.870000004768372,17.552,2018
MOZ,Mozambique,77.1999969482422,272954265980.34,3.91133439990733,21.1,602.530495032573,112.60498046875,353839.0,29.5,,3.45600008964539,37.52,2018
MAR,Morocco,9.19999980926514,1225891076035.55,1.8039167114189,,3004.63232421875,113.876579284668,7804.0,12.5,,9.26500034332275,18.937,2018
MNE,Montenegro,27.1000003814697,2561003805.3099,2.61122378263797,,7381.80417286363,100.002548217773,784.0,1.4,36.8,15.1700000762939,11.7,2018
MNG,Mongolia,38.2999992370605,21035623078076.4,6.81243594195042,,4233.9726894313,104.04035949707,2151.0,8.7,32.7,5.38000011444092,24.131,2018
MCO,Monaco,,,,,171223.980529205,,,1.7,,,5.9,2018
MDA,Moldova,59.2000007629395,39776275781.14,3.04505397337069,,3260.53170055043,103.163192749023,880.0,11.0,25.7,4.1100001335144,10.1,2018
FSM,"Micronesia, Fed. Sts.",,-182285000.0,1.79400375972253,,2917.24221928425,,,13.7,,,22.82,2018
MEX,Mexico,16.0,8974925580657.54,4.89935015356549,,9945.77684548009,105.02806854248,93645.0,8.7,46.7,3.27999997138977,17.602,2018
MUS,Mauritius,,535595343325.038,3.2160538314458,,10335.848574865,101.107597351074,1156.0,9.7,,6.42999982833862,10.2,2018
MRT,Mauritania,73.1999969482422,87432086158.62,3.04891482875157,,1575.31378777001,99.8917617797852,129168.0,32.4,,10.3850002288818,33.694,2018
MHL,Marshall Islands,,,,,3409.49291241526,,,15.1,,,,2018
MLT,Malta,,12674000000.0,1.15782362451512,,27867.5391488301,106.674171447754,,4.4,28.7,3.66000008583069,9.2,2018
MLI,Mali,47.2000007629395,3087124973325.0,0.299546507387888,,802.033620932771,75.6006011962891,1343000.0,32.9,36.1,7.42799997329712,41.543,2018
MDV,Maldives,30.1000003814697,39251483347.99,-0.133373386117525,,9822.5396400279,96.5971374511719,1671.0,4.9,,5.61899995803833,14.199,2018
MYS,Malaysia,,2076411592158.98,0.884709160571244,,11075.5796861299,104.935997009277,7685.0,4.5,,3.29999995231628,16.752,2018
MWI,Malawi,65.0999984741211,,12.420178108921,,390.840706664216,142.457824707031,,20.3,,5.75799989700317,34.118,2018
MDG,Madagascar,61.2000007629395,8485282921504.81,8.59422958870474,,480.915251377409,142.534286499023,66840.0,21.1,,1.84300005435944,32.657,2018
MAC,"Macao SAR, China",,82551828000.0,3.00446293166949,,82943.6803206488,100.409370422363,902.0,,,1.83000004291534,11.058,2018
LUX,Luxembourg,,112045000000.0,1.52819524307373,,107201.839944816,103.276336669922,369.0,1.7,35.4,5.59000015258789,10.3,2018
LTU,Lithuania,,21510000000.0,2.69792779208397,,16443.5852875776,104.265342712402,201.0,2.2,35.7,6.15000009536743,10.0,2018
LIE,Liechtenstein,,,,,,106.329788208008,3.0,,,,9.9,2018
LBY,Libya,,15375106712.0,,,10276.804326657,,,6.4,,19.4549999237061,18.829,2018
LBR,Liberia,70.3000030517578,978358555.167545,23.5635148953742,,683.251296361547,,,31.4,,3.02999997138977,33.042,2018
LSO,Lesotho,53.5999984741211,6401464297.51,4.75180301624742,,1109.25591724481,,,45.1,,22.8129997253418,26.808,2018
LBN,Lebanon,61.0999984741211,,6.07698907889605,,7318.2875443115,,,4.3,,10.7959995269775,17.545,2018
LVA,Latvia,,13131000000.0,2.53445424186602,,15558.2761097779,99.614387512207,1382.0,2.4,35.1,7.40999984741211,10.0,2018
LAO,Lao PDR,21.1000003814697,,2.04039266890198,40.3,2483.1615746774,102.360992431641,65377.0,22.8,38.8,0.827000021934509,23.549,2018
KGZ,Kyrgyz Republic,9.69999980926514,124541857206.871,1.54266145238431,,1197.6107237282,107.565406799316,1414.0,12.8,27.7,6.88600015640259,27.1,2018
KWT,Kuwait,,34187815900.0,0.543133148199589,,27819.4479520036,92.3602676391602,,4.9,,2.16499996185303,13.939,2018
XKX,Kosovo,,2575328315.8968,1.05379773654998,,4009.10642282596,,,,,,16.0,2018
KOR,"Korea, Rep.",,3152474497900000.0,1.47583935002643,,31053.6379289101,99.6097793579102,25225.0,1.5,,3.8199999332428,6.4,2018
PRK,"Korea, Dem. People's Rep.",,,,,,89.3164215087891,,9.8,,2.62599992752075,13.89,2018
KIR,Kiribati,,,0.564030491493466,,1536.39184867965,,,22.3,,,27.887,2018
KEN,Kenya,46.5,3886840013568.96,4.68981976129857,23.9,1559.859146015,,,21.4,,4.24900007247925,28.748,2018
KAZ,Kazakhstan,,18673596336494.0,6.01913096570673,,11053.3620631343,105.836730957031,13169.0,4.7,27.8,4.84999990463257,21.77,2018
JOR,Jordan,23.3999996185303,33059621053.343,4.46231108475485,,4109.75242860846,81.4589004516602,264821.0,9.4,,18.2700004577637,21.979,2018
JPN,Japan,,1544180900000000.0,0.989094598021806,,36117.2276899342,,,0.9,,2.40000009536743,7.4,2018
JAM,Jamaica,57.0999984741211,1193427798774.6,3.7366388215216,,5043.54079018179,,,10.0,,9.10000038146973,16.103,2018
ITA,Italy,,2861978000000.0,1.13748763600395,,31593.4802621599,101.247947692871,89218.0,1.9,35.2,10.6099996566772,7.3,2018
ISR,Israel,,1065467669734.91,0.817323896191417,,38301.4536594719,104.688430786133,2791.0,2.0,38.6,4.0,20.8,2018
IMN,Isle of Man,,,,,96449.339649052,,,,,,,2018
IRL,Ireland,,234035000000.0,0.488370168032449,,72607.6318544814,101.03288269043,10.0,2.2,30.6,5.73999977111816,12.5,2018
IRQ,Iraq,45.7000007629395,18517824549977.6,0.36744148893681,,4975.38104844748,,,15.4,,12.9659996032715,29.075,2018
IRN,"Iran, Islamic Rep.",25.2999992370605,,18.0141183371874,,5454.29781802282,,,8.9,42.0,12.1899995803833,18.783,2018
IDN,Indonesia,30.6000003814697,6349927772418690.0,3.19834641562404,,3732.86711146592,106.410820007324,1555014.0,12.6,38.4,4.40000009536743,18.072,2018
IND,India,35.2000007629395,136984918827906.0,3.93882646691634,,1914.01239670815,,,22.7,34.6,5.32999992370605,17.857,2018
ISL,Iceland,,2708930722722.31,2.68291768267388,,57699.458929971,100.439910888672,19.0,1.1,,2.70000004768372,12.0,2018
HUN,Hungary,13.6000003814697,23313459500000.0,2.85024792594642,,14379.4442049294,96.7604827880859,17172.0,2.3,29.6,3.71000003814697,9.6,2018
HKG,"Hong Kong SAR, China",,6049091825000.0,2.40613432046539,,45280.2188416436,108.617668151855,8187.0,,,2.8199999332428,7.2,2018
HND,Honduras,38.5999984741211,362188010724.759,4.34734937777536,,2475.170273532,,,9.4,48.9,5.65000009536743,21.599,2018
HTI,Haiti,65.9000015258789,212761588173.73,12.4814111170435,,1414.99940884475,,,25.7,,13.8599996566772,24.349,2018
GUY,Guyana,31.1000003814697,435345980568.25,1.28284288443518,,6178.88974588029,,,18.4,,14.0200004577637,19.967,2018
GNB,Guinea-Bissau,74.4000015258789,173749459396.0,0.381324702791038,,637.546681187029,,,36.7,34.8,5.98199987411499,35.125,2018
GIN,Guinea,50.0999984741211,24607211080010.6,9.82600180777342,,920.964278702536,,,30.7,29.6,4.98299980163574,36.364,2018
GTM,Guatemala,31.0,256029130272.345,3.75186186704512,,4160.07113765612,101.902618408203,246375.0,12.0,,2.27999997138977,24.561,2018
GUM,Guam,,,,,35103.1618350584,,,,,5.55900001525879,16.579,2018
GRD,Grenada,6.0,1479947290.17,0.804102313277037,,10115.0641113487,106.850761413574,94.0,11.1,,,16.465,2018
GRL,Greenland,,,,,47013.0349493846,,,,,,14.6,2018
GRC,Greece,3.0,169742000000.0,0.625621413453588,5.5,18647.4957207515,99.3664321899414,9246.0,2.5,32.9,19.2900009155273,8.1,2018
GIB,Gibraltar,,,,,,,,,,,,2018
GHA,Ghana,30.3999996185303,89468709366.67,7.80876516610709,,1970.26082923134,103.568466186523,153986.0,24.1,,4.27600002288818,29.407,2018
DEU,Germany,0.00999999977648258,4262424000000.0,1.73216766075662,,42973.2899573032,103.894561767578,19808.0,2.3,31.7,3.38000011444092,9.5,2018
GEO,Georgia,34.0999984741211,28167516137.5216,2.61524471397664,,4539.08752230476,98.6308364868164,2434.0,5.4,36.4,12.6700000762939,13.472,2018
GMB,"Gambia, The",27.1000003814697,29486837505.54,6.52096823946571,9.2,692.632098181955,98.0143814086914,65020.0,27.1,,9.47599983215332,38.535,2018
GAB,Gabon,36.5999984741211,2187727000000.0,4.74906652083221,,7019.8275539348,,,20.5,,20.7490005493164,31.611,2018
PYF,French Polynesia,,,,,20819.6320811137,,,,,12.2480001449585,14.684,2018
FRA,France,,3763888000000.0,1.85081508315494,,38291.8657809431,102.464408874512,618.0,2.6,32.4,9.02000045776367,11.3,2018
FIN,Finland,,321517000000.0,1.08382098409299,,45628.9257036813,100.205108642578,4885.0,1.4,27.3,7.3600001335144,8.6,2018
FJI,Fiji,11.1999998092651,8141596010.53591,4.08147637644538,,5938.4275368055,,,11.0,,4.33300018310547,21.277,2018
FRO,Faroe Islands,,,,,,,,,,,13.4,2018
ETH,Ethiopia,64.3000030517578,,13.8330356586661,,757.35041670679,,,28.7,,2.31800007820129,32.339,2018
SWZ,Eswatini,32.0999984741211,16442650792.0143,4.81506167461507,,3775.03988118654,114.693618774414,33794.0,21.1,,22.7919998168945,26.342,2018
EST,Estonia,,18288000000.0,3.43632688420445,,19677.6768375961,97.6676864624023,1946.0,1.1,30.3,5.36999988555908,10.9,2018
ERI,Eritrea,,,,,,68.4338302612305,241988.0,18.5,,5.94700002670288,30.302,2018
GNQ,Equatorial Guinea,64.9000015258789,1365053000000.0,1.34988438751676,,8124.18286170684,,,29.9,,8.62399959564209,33.241,2018
SLV,El Salvador,22.3999996185303,15418642953.7839,1.09033000581896,,3920.52627751227,,,6.7,38.6,4.01000022888184,18.253,2018
EGY,"Egypt, Arab Rep.",5.19999980926514,4073984295039.03,14.4014657807421,,3831.19983495957,106.284927368164,77552.0,11.1,,9.81999969482422,26.379,2018
ECU,Ecuador,20.1000003814697,42897064630.0,-0.224103246005465,,5952.21808360301,103.267951965332,24550.0,6.9,45.4,3.52999997138977,19.719,2018
DOM,Dominican Republic,14.8000001907349,1835310428022.93,3.56443426013507,,7997.7611092431,105.69864654541,65825.0,24.2,43.7,5.8600001335144,19.506,2018
DMA,Dominica,,754683382.22,0.989191119189815,,7501.59215430265,,,28.3,,,,2018
DJI,Djibouti,64.5,130127163000.0,0.147970849877116,,2992.53134406865,70.2976913452148,33948.0,31.8,,26.1889991760254,21.466,2018
DNK,Denmark,0.00100000004749745,4449432000000.0,0.813609467455633,,56563.4884729669,100.523910522461,2813.0,2.7,28.2,5.13000011444092,10.6,2018
CZE,Czechia,,3347742000000.0,2.14949494949492,,19685.4944824973,100.508987426758,2386.0,1.6,25.0,2.24000000953674,10.7,2018
CYP,Cyprus,,36557000000.0,1.43549119531762,,27161.404296875,99.7954406738281,329.0,1.7,32.7,8.36999988555908,10.462,2018
CUW,Curacao,,,2.58368756641871,,18198.6641008675,,,,,,10.5,2018
CUB,Cuba,6.59999990463257,,,,8040.98799500021,101.90454864502,15680.0,2.3,,1.70000004768372,10.166,2018
HRV,Croatia,,287124000000.0,1.50012501041753,,13519.5588337019,94.6030502319336,2766.0,3.0,29.7,8.43000030517578,9.0,2018
CIV,Cote d'Ivoire,60.0999984741211,9338832105802.0,0.359409031380664,,2247.77660859265,99.7997512817383,241575.0,34.5,37.2,3.29299998283386,35.74,2018
CRI,Costa Rica,3.90000009536743,24327209852162.5,2.22111461526584,,12573.955849624,113.294288635254,509.0,5.9,48.0,9.63000011444092,13.971,2018
COG,"Congo, Rep.",47.7999992370605,1800622000000.0,1.15277896375521,,1841.17390316672,93.6956100463867,130688.0,19.4,,20.6140003204346,32.862,2018
COD,"Congo, Dem. Rep.",77.5,6383083637454.62,,,506.958273711373,118.459609985352,,27.9,,4.45100021362305,41.183,2018
COM,Comoros,68.4000015258789,89710766565.94,,,1290.28688619226,99.5066299438477,22667.0,30.5,,8.07900047302246,31.881,2018
COL,Colombia,27.7999992370605,542154508606448.0,3.24023413752975,,6271.87512055936,114.526657104492,85793.0,7.7,50.4,9.10999965667725,14.882,2018
CHN,China,24.6000003814697,196545136539864.0,2.07479039965578,,9619.19248413167,100.222747802734,,4.1,38.5,4.28000020980835,10.86,2018
CHL,Chile,8.80000019073486,165404759500362.0,2.43488981353058,,13886.1905540497,102.179222106934,19351.0,4.7,,7.23000001907349,12.428,2018
CHI,Channel Islands,,,,,,,,,,6.57399988174438,9.861,2018
TCD,Chad,86.9000015258789,1412009000000.0,4.27462198610544,27.4,658.688891935225,89.7342834472656,693571.0,33.8,37.5,1.12999999523163,42.172,2018
CAF,Central African Republic,95.4000015258789,374517000000.0,1.61215686991555,,412.990202678674,,,40.2,,5.60500001907349,35.348,2018
CYM,Cayman Islands,,,,,81494.8886873622,87.6274032592773,511.0,,,,9.9,2018
CAN,Canada,0.00999999977648258,,2.268225672481,,44917.4837282326,101.501091003418,5025.0,3.3,,5.82999992370605,10.1,2018
CMR,Cameroon,33.7000007629395,4122453000000.0,1.0742994515814,,1437.27153388392,103.402122497559,,27.4,,3.61700010299683,35.386,2018
KHM,Cambodia,45.0999984741211,85334490675642.3,2.45908515380133,,1365.8290574314,107.414848327637,186109.0,14.3,,0.14300000667572,22.464,2018
CPV,Cabo Verde,,153202625768.284,1.25699566690509,,3333.06610990367,104.027969360352,3973.0,9.6,,12.1700000762939,19.49,2018
BDI,Burundi,47.7000007629395,2352601100000.0,-2.8146980766847,,281.934731740358,121.421562194824,114262.0,21.8,,1.58700001239777,39.008,2018
BFA,Burkina Faso,57.0999984741211,2731310273424.0,1.95594302672532,,718.642559523889,96.0903701782227,689266.0,26.7,47.3,4.69000005722046,37.93,2018
BGR,Bulgaria,,58618840000.0,2.81454473824833,,7859.67803704994,87.4422073364258,39977.0,3.4,41.3,5.21000003814697,8.9,2018
BRN,Brunei Darussalam,,5192031571.35856,1.02505179290213,,29802.7828760991,103.15161895752,295.0,5.8,,8.69999980926514,14.896,2018
VGB,British Virgin Islands,,,,,,102.554740905762,48.0,,,,,2018
BRA,Brazil,16.2999992370605,7763603483574.8,3.66485028376724,,8582.33863665038,114.476531982422,72329.0,9.2,53.9,12.3299999237061,13.924,2018
BWA,Botswana,,37535924636.6493,3.2380155894771,,6973.09884562464,,,22.7,,22.0709991455078,24.821,2018
BIH,Bosnia and Herzegovina,7.59999990463257,18556944944.87,1.41710814018026,,5387.26967062662,,,4.3,,18.3999996185303,8.111,2018
BOL,Bolivia,48.5,210618528812.34,2.27205987230148,,3291.15636101039,98.1509170532227,95364.0,14.6,42.6,3.51999998092651,21.75,2018
BTN,Bhutan,,110910054433.121,2.72396386183716,,3097.14835098189,100.139678955078,7456.0,16.3,,2.44400000572205,17.259,2018
BMU,Bermuda,,,,,106697.737486296,,,,,,8.3,2018
BEN,Benin,58.7999992370605,1550450781560.0,0.644803622440778,,1155.31316796067,121.958251953125,50858.0,30.6,37.8,1.47000002861023,36.221,2018
BLZ,Belize,5.0,2747231185.26,,,4709.85588615736,111.696876525879,302.0,8.6,,6.64400005340576,20.786,2018
BEL,Belgium,,616329000000.0,2.05316499865181,,42403.533592766,103.350700378418,4131.0,2.4,27.2,5.94999980926514,10.4,2018
BLR,Belarus,33.2000007629395,43034016499.1,4.87230220550689,4.9,6165.90933024502,100.500213623047,5544.0,1.2,25.2,4.76000022888184,9.9,2018
BRB,Barbados,,10970672180.7719,3.67381410406798,,16803.2646042707,99.3513488769531,328.0,8.6,,8.31999969482422,10.648,2018
BGD,Bangladesh,47.2000007629395,14416908000000.0,5.5436213948647,,1481.1833790234,116.466339111328,,19.7,,4.41300010681152,18.184,2018
BHR,Bahrain,,,2.08766938046983,,21818.7423371891,99.3630523681641,1188.0,3.1,,1.20099997520447,13.99,2018
BHS,"Bahamas, The",,10496826803.01,2.26586346678726,,32001.1556693263,,,7.0,,10.0,13.968,2018
AZE,Azerbaijan,,23599989565.43,2.26854690374005,,5262.18380792188,99.7220993041992,24803.0,10.9,,4.90000009536743,14.0,2018
AUT,Austria,,477970000000.0,1.99837981429546,,46188.9665119872,103.316848754883,143.0,2.2,30.8,4.84999990463257,9.7,2018
AUS,Australia,,3266415607928.4,1.91140094445692,,58447.2526505317,100.160591125488,9614.0,2.3,34.3,5.30000019073486,12.6,2018
ABW,Aruba,,3677911000.0,3.62604141352956,,30536.6671931455,,,,,,11.652,2018
ARM,Armenia,9.30000019073486,3769084724322.55,2.52023382001631,,4051.38496692373,92.7152481079102,11426.0,6.4,34.4,18.9699993133545,13.987,2018
ARG,Argentina,14.6999998092651,,,,13105.397163317,109.659172058105,17573.0,6.0,41.3,9.22000026702881,17.021,2018
ATG,Antigua and Barbuda,,2533671447.34,1.20715793367003,,16146.5927471262,105.021270751953,66.0,3.8,,,15.327,2018
AGO,Angola,48.5999984741211,6371088920364.27,19.6286077209765,,2717.47412052785,,,28.6,51.3,7.4210000038147,40.729,2018
AND,Andorra,,,,,38301.4504295522,,,1.4,,,7.2,2018
ASM,American Samoa,,,,,11393.6056572867,,,,,,,2018
DZA,Algeria,,15297966952465.5,4.26999020467078,,4154.21903821671,109.882820129395,14211.0,16.0,,10.4200000762939,24.282,2018
ALB,Albania,,874950000000.0,2.02805963071136,,4431.53918098494,106.993423461914,4085.0,7.1,30.1,12.3000001907349,11.78,2018
AFG,Afghanistan,70.6999969482422,-74582578900.6225,0.626149149168811,,546.743010078504,103.996162414551,,37.2,,11.1520004272461,32.487,2018
WLD,World,29.2361359901447,,2.43873655522938,,10853.1114937657,101.506980895996,61639532.0,17.9,,5.38968031402404,18.148410573091,2018
UMC,Upper middle income,22.4606760881716,,2.61122378263797,,9176.55545148635,102.344619750977,6185489.0,6.2,,5.77288907633641,12.977246479671,2018
TSS,Sub-Saharan Africa (IDA & IBRD countries),53.5990118310132,,4.09297819300638,,1664.95222966645,99.9655838012695,34811412.0,28.1494426197301,,6.48479163501959,35.2189126038684,2018
SSA,Sub-Saharan Africa (excluding high income),53.5990118310132,,4.27462198610544,,1663.60940507166,99.9655609130859,34811144.0,28.1502602275741,,6.48479163501959,35.2205386335746,2018
SSF,Sub-Saharan Africa,53.5990118310132,,4.09297819300638,,1664.95222966645,99.9655838012695,34811412.0,28.2,,6.48479163501959,35.2189126038684,2018
TSA,South Asia (IDA & IBRD),37.6560947439141,,3.33139516437675,,1813.77782775868,99.5641021728516,15591971.0,26.033889968019,,5.11979632371503,19.407370372706,2018
SAS,South Asia,37.6560947439141,,3.33139516437675,,1813.77782775868,99.5641,15600000.0,26.0,,5.11979632371503,19.407370372706,2018
SST,Small states,,,2.29424307036244,,11788.3116102042,106.719116210938,506306.0,20.7042595024094,,9.33547634107194,22.0004626140031,2018
PRE,Pre-demographic dividend,57.1023718889773,,2.96760366004454,,1534.65855120165,98.5786285400391,33953436.0,28.8603513430595,,6.12690082044966,36.5449591492278,2018
PST,Post-demographic dividend,,,1.73860861988181,,42800.3069431172,100.799270629883,867140.0,2.7920118723689,,5.28552472988276,9.83244578510894,2018
PSS,Pacific island small states,,,2.89621932270308,,4088.46573964518,109.373611450195,12822.0,10.2806926126709,,2.85162667545181,26.0991272201895,2018
OSS,Other small states,,,2.64707073265592,,12827.6797883815,108.089530944824,442449.0,23.1514555597819,,9.92344944340233,23.1219805225987,2018
OED,OECD members,,,1.93246812286361,,37301.2244107274,102.056221008301,1159439.0,4.07494311861478,,5.46424987172776,11.325229194638,2018
INX,Not classified,,,,,,,,,,,,2018
NAC,North America,,,2.35540448470459,,58113.1051653202,101.27799987793,146692.0,3.6,,4.1127505987492,11.4466659763664,2018
MIC,Middle income,28.7514925726114,,3.1236306221878,,5307.65976983699,101.347801208496,38882448.0,17.6592656082126,,5.49923686165503,17.9337464265488,2018
TMN,Middle East & North Africa (IDA & IBRD countries),25.2053037193666,,4.46231108475485,,4134.98202899403,104.679710388184,2375910.0,13.4504270306723,,11.4625203666998,23.5631188548876,2018
MNA,Middle East & North Africa (excluding high income),25.2053037193666,,4.36615064471281,,4126.42517190921,104.611167907715,2388924.0,13.410278286136,,11.6201736870998,23.6313515561183,2018
MEA,Middle East & North Africa,24.0724393090607,,1.94579304594436,,7556.05187651938,104.257659912109,2574243.0,12.4,,9.88214245803812,22.5784617519274,2018
LMC,Lower middle income,35.8142694706181,,3.93882646691634,,2352.70827172931,100.799926757813,32696956.0,23.2,,5.21229527474947,21.7190764664995,2018
LIC,Low income,66.2993009600372,,4.09297819300638,,796.023239486281,102.696983337402,21486156.0,27.5,,5.09275662337108,34.892921652326,2018
LMY,Low & middle income,31.2391755668822,,3.20720012353492,,4846.21917865252,101.561180114746,60368600.0,19.4161713138456,,5.46236832021895,19.667410015297,2018
LDC,Least developed countries: UN classification,58.884202109667,,3.47796666914965,,1065.67928021148,105.927726745605,26170210.0,26.2952021521983,,4.55289735359831,31.4330886319069,2018
TLA,Latin America & the Caribbean (IDA & IBRD countries),21.0040716987546,,2.29810236299036,,8527.48064100545,108.719818115234,1671659.0,9.70031391118431,,7.97783084832191,16.5319183015271,2018
LAC,Latin America & Caribbean (excluding high income),19.913267250187,,2.78218949560449,,8206.8950817266,109.56713104248,1345353.0,9.49918766300589,,8.04721451807999,16.4798527974586,2018
LCN,Latin America & Caribbean,20.7569337067902,,2.3795173336049,,8668.34022871221,108.502006530762,1726638.0,9.6,,7.87381476809388,16.3622318353316,2018
LTE,Late-demographic dividend,22.0709941956233,,2.47446347118433,,9343.44063603654,102.659690856934,3893157.0,5.46362184995843,,5.0094034631291,12.0088169699747,2018
IDA,IDA total,52.8748039453393,,3.00825924439805,,1402.37829593877,101.364921569824,43817160.0,28.9221186503621,,4.92031561474684,31.1915530885918,2018
IDX,IDA only,56.677775536552,,3.25519483924451,,1103.70638469656,105.028327941895,26155344.0,25.8378899978253,,4.53595143864725,30.8666311327904,2018
IDB,IDA blend,46.7745024321153,,2.30919396202084,,1992.20436470064,93.7567977905273,17659756.0,34.8525924978617,,5.79206675459111,31.8332608483575,2018
IBT,IDA & IBRD total,30.9804534049742,,3.04891482875157,,5004.55539360651,101.55793762207,60530600.0,19.3306304656199,,5.4688025938703,19.5751558980744,2018
IBD,IBRD only,25.5745089465876,,3.19834641562404,,6233.58419302976,101.667121887207,16715499.0,12.9596009689384,,5.62580707153224,15.6116414798724,2018
HIC,High income,,,1.83188332429087,,41862.3390752507,101.240562438965,950498.0,2.8,,5.07192910331805,10.3171200213745,2018
HPC,Heavily indebted poor countries (HIPC),58.4795344784781,,3.04891482875157,,1011.46747190506,103.62198638916,23467568.0,26.9368037174514,,4.68650317219983,35.2984829713755,2018
FCS,Fragile and conflict affected situations,55.4465275428803,,2.96760366004454,,1933.58020203046,97.8887023925781,30978518.0,29.1601534942822,,6.55300352892517,32.423748466543,2018
EUU,European Union,,,1.73860861988181,,32460.5403004971,101.509719848633,525908.0,2.3415012917064,,7.26666027381046,9.50739024201224,2018
TEC,Europe & Central Asia (IDA & IBRD countries),,,2.56572880132714,,8692.28866953552,98.9345703125,763979.0,5.82939614520967,,6.69182396340971,13.6448203274982,2018
ECA,Europe & Central Asia (excluding high income),,,2.61122378263797,,8004.56501867379,99.1734008789063,710491.0,6.11643228386903,,7.08039480694142,14.1807784295477,2018
ECS,Europe & Central Asia,,,2.01321972250341,,23936.3776992433,100.860939025879,1061124.0,4.4,,6.8965054020934,11.6572208349975,2018
EMU,Euro area,,,1.70349794744475,,36338.6111011861,102.515663146973,241357.0,2.24793299352102,,8.17031449687859,9.28365197085059,2018
TEA,East Asia & Pacific (IDA & IBRD countries),26.3951207342983,,2.82871578471268,,7804.69775307602,102.489433288574,5315670.0,7.71458091351269,,3.80941613580349,13.0645286238763,2018
EAP,East Asia & Pacific (excluding high income),26.3951207342983,,2.82871578471268,,7719.14456418785,102.357460021973,5520719.0,7.7401549770114,,3.79205498854325,13.0746121685749,2018
EAS,East Asia & Pacific,26.3951207342983,,2.31260343301557,,10834.3640622059,102.119941711426,5727450.0,7.4,,3.733398635164,12.5290996242518,2018
EAR,Early-demographic dividend,31.7231848348401,,3.95721831216162,,3535.75997493953,102.439498901367,22919866.0,20.4412797202161,,5.6367330134365,20.2039592395521,2018
CEB,Central Europe and the Baltics,5.4675126726348,,2.53445424186602,,14244.0240611986,95.2624282836914,262743.0,2.71288935244331,,4.31640738540508,10.1005806475465,2018
CSS,Caribbean small states,33.478228840617,,1.28284288443518,,10012.8163086494,98.5967178344727,,11.1908344721335,,8.70936959479723,15.8867778740861,2018
ARB,Arab World,31.0559253003346,,2.45814158007533,,6414.53970555211,95.8423385620117,7131083.0,16.8773600714391,,10.5023355572556,25.1471006437938,2018
AFW,Africa Western and Central,51.1681319183562,,1.78404994832044,,1843.55469505772,,,32.2197416823538,,6.04109241959404,37.1484648274377,2018
AFE,Africa Eastern and Southern,55.7709732028428,,4.720811388773,,1544.07797470558,,,25.131656355368,,6.73116273378074,33.9130337240831,2018
ZWE,Zimbabwe,,10697155534.1303,0.893962316050074,,1479.37605645489,98.9331893920898,419692.0,27.0,44.3,4.78499984741211,31.732,2017
ZMB,Zambia,,53576763397.8765,6.57731154205652,,1354.40711529643,98.7155227661133,495692.0,25.0,,11.6300001144409,36.699,2017
YEM,"Yemen, Rep.",,,,,1311.82466475434,,,28.2,,13.2969999313354,31.04,2017
PSE,West Bank and Gaza,,7666407012.51,0.212570934228834,,3462.97986107136,98.9165267944336,12194.0,11.2,,25.6800003051758,29.905,2017
